,Label,feature extraction,accuracy,sem,loss,val_loss,time
0,ReasoningLevel,tfidf,"0    0.508854
1    0.468707
2    0.452187
3    0.446283
4    0.446983
5    0.438395
6    0.434030
Name: accuracy, dtype: float64","0    0.004157
1    0.003693
2    0.003513
3    0.003220
4    0.003181
5    0.002996
6    0.002815
Name: sem, dtype: float64","0    1.337382
1    1.340944
2    1.343344
3    1.343365
4    1.343854
5    1.343323
6    1.341213
Name: loss, dtype: float64","0    1.337382
1    1.340944
2    1.343344
3    1.343365
4    1.343854
5    1.343323
6    1.341213
Name: valloss, dtype: float64",00:00:07
1,ReasoningLevel,bow,"0    0.483854
1    0.472571
2    0.479824
3    0.476029
4    0.480995
5    0.474674
6    0.476584
Name: accuracy, dtype: float64","0    0.005753
1    0.005477
2    0.005162
3    0.004935
4    0.004952
5    0.004801
6    0.004753
Name: sem, dtype: float64","0    1.466091
1    1.493658
2    1.473336
3    1.452407
4    1.435896
5    1.431130
6    1.409523
Name: loss, dtype: float64","0    1.466091
1    1.493658
2    1.473336
3    1.452407
4    1.435896
5    1.431130
6    1.409523
Name: valloss, dtype: float64",00:09:14
