,feature extraction,accuracy,sem,Label,ck,time
0,tfidf,"[0.2976190476190476, 0.31764705882352945, 0.2720000000000001, 0.2941176470588235, 0.31111111111111117]","[0.014741409223021196, 0.023934422775948434, 0.03414999593297519, 0.024802177726810818, 0.049135182079339264]",ArgumentLevel,"[0.03407155025553654, -0.07086614173228334, 0.0, -0.025125628140703515, 0.0]",3.4412128925323486
1,bow,"[0.30476190476190473, 0.27941176470588236, 0.30000000000000004, 0.30588235294117644, 0.34444444444444444]","[0.020937945965512565, 0.019730011566174613, 0.012292725943057184, 0.027450980392156862, 0.0420659877466687]",ArgumentLevel,"[0.3687471056964572, -0.13476542428007354, 0.19527803453069537, 0.2455617983958659, 0.3398589624529056]",2.519646644592285
2,tfidf,"[0.32857142857142857, 0.3352941176470588, 0.308, 0.28823529411764703, 0.2777777777777778]","[0.012698412698412697, 0.0165218623003458, 0.014666666666666668, 0.018498002219718833, 0.04140866624999611]",ReasoningLevel,"[0.0, 0.02857142857142858, -0.06891037978881531, -0.09405940594059392, 0.0]",4.150794506072998
3,bow,"[0.3119047619047619, 0.31176470588235294, 0.36, 0.3352941176470588, 0.38888888888888884]","[0.013492063492063494, 0.01531421505079736, 0.03319973226130328, 0.042099824614870364, 0.03414646095293662]",ReasoningLevel,"[-0.028551154676816903, 0.07857047737408629, 0.6491920506375152, 0.08916979086638044, 0.45191482090138313]",2.80133056640625
