,feature extraction,accuracy,sem,Label
0,tfidf,"[0.3808988764044944, 0.36944444444444446, 0.42407407407407416, 0.4111111111111111, 0.3555555555555555]","[0.0204076894768918, 0.013764878469739358, 0.01548140272096846, 0.024074074074074074, 0.03434673516850261]",ArgumentLevel
1,bow,"[0.29213483146067415, 0.2847222222222222, 0.3055555555555555, 0.28055555555555556, 0.2611111111111111]","[0.013812051621412564, 0.010403798636224182, 0.01995460478425261, 0.01627629243633976, 0.027529756939478706]",ArgumentLevel
2,tfidf,"[0.44831460674157303, 0.4819444444444444, 0.4148148148148148, 0.39722222222222225, 0.5111111111111112]","[0.004868913857677901, 0.008032107209674759, 0.023129622216290356, 0.026205503144601672, 0.02159611812905667]",ReasoningLevel
3,bow,"[0.41011235955056174, 0.4013888888888889, 0.40740740740740744, 0.40555555555555556, 0.35]","[0.010626412703454012, 0.016361663932474343, 0.0138028887499987, 0.02752975693947871, 0.04145005423259147]",ReasoningLevel
