,feature extraction,accuracy,sem,Label
0,tfidf,"[0.397752808988764, 0.3847222222222222, 0.3648148148148148, 0.4166666666666667, 0.37222222222222223]","[0.011985018726591757, 0.015910037293925542, 0.01991637753691565, 0.028688765527462346, 0.02625453125695893]",ArgumentLevel
1,bow,"[0.3146067415730337, 0.2930555555555555, 0.2833333333333333, 0.29444444444444445, 0.3055555555555555]","[0.01046010490169958, 0.017744229534015554, 0.015382636783181618, 0.022755936532304642, 0.02898606637499727]",ArgumentLevel
2,tfidf,"[0.41685393258426967, 0.45555555555555555, 0.47222222222222215, 0.41388888888888886, 0.43888888888888894]","[0.00908963378240569, 0.017421192335395158, 0.01331102385978261, 0.021296296296296292, 0.025458753860865775]",ReasoningLevel
3,bow,"[0.42584269662921354, 0.4111111111111111, 0.412962962962963, 0.4083333333333333, 0.39444444444444443]","[0.009831014792813996, 0.015382636783181618, 0.016574964916169815, 0.01899841160063258, 0.039240037222994614]",ReasoningLevel
