,feature extraction,accuracy,sem,Label,ck,time
0,tfidf,"[0.3921348314606742, 0.4, 0.3814814814814815, 0.3694444444444444, 0.37777777777777777]","[0.01575261486502853, 0.012729376930432888, 0.017503020837972623, 0.018541652217130354, 0.038667801884853886]",ArgumentLevel,"[0.1583500155204749, 0.0, 0.0, 0.0, 0.0]",1.638293743133545
1,bow,"[0.3539325842696629, 0.29861111111111105, 0.35370370370370374, 0.3472222222222222, 0.3777777777777778]","[0.01256217964887522, 0.02010027161675223, 0.0175573613004048, 0.03395763114980046, 0.044444444444444446]",ArgumentLevel,"[0.2459860182071999, -0.09686007157284549, 0.12921488709583528, 0.43824034851701765, 0.5371447490328363]",4.265286684036255
2,tfidf,"[0.42921348314606733, 0.4611111111111111, 0.437037037037037, 0.475, 0.48888888888888893]","[0.012055038905940882, 0.015326801256710041, 0.017719382832601632, 0.03192766601771605, 0.029629629629629634]",ReasoningLevel,"[-0.04333263554532141, -0.043910521955260906, 0.0, 0.0, 0.0]",2.2524220943450928
3,bow,"[0.4426966292134832, 0.4833333333333333, 0.437037037037037, 0.4444444444444445, 0.44444444444444436]","[0.01331564706713946, 0.009212846639876109, 0.013006979941793504, 0.02028602064833948, 0.02342427896421022]",ReasoningLevel,"[0.9834132733430779, 1.1817503747409352, 0.8876136704814204, 1.0067664620997687, 1.082332707185369]",3.576585054397583
