,Label,feature extraction,accuracy,sem,loss,val_loss,time
0,ArgumentLevel,tfidf,"0    0.429688
1    0.404806
2    0.402797
3    0.398769
4    0.397739
5    0.393861
6    0.386514
Name: accuracy, dtype: float64","0    0.004132
1    0.003611
2    0.003343
3    0.003157
4    0.002985
5    0.002820
6    0.002658
Name: sem, dtype: float64","0    1.568958
1    1.572038
2    1.569118
3    1.566415
4    1.564966
5    1.562721
6    1.560931
Name: loss, dtype: float64","0    1.568958
1    1.572038
2    1.569118
3    1.566415
4    1.564966
5    1.562721
6    1.560931
Name: valloss, dtype: float64",00:00:50
1,ArgumentLevel,bow,"0    0.408438
1    0.440810
2    0.443467
3    0.442460
4    0.423390
5    0.422497
6    0.415519
Name: accuracy, dtype: float64","0    0.004724
1    0.004907
2    0.004873
3    0.004755
4    0.004496
5    0.004431
6    0.004296
Name: sem, dtype: float64","0    1.718623
1    1.630518
2    1.598717
3    1.591969
4    1.624495
5    1.612279
6    1.606624
Name: loss, dtype: float64","0    1.718623
1    1.630518
2    1.598717
3    1.591969
4    1.624495
5    1.612279
6    1.606624
Name: valloss, dtype: float64",00:20:07
