,Label,feature extraction,accuracy,sem,loss,val_loss,time
0,ArgumentLevel,tfidf,"0    0.386771
1    0.378499
2    0.373735
3    0.372521
4    0.371930
5    0.370321
6    0.367148
Name: accuracy, dtype: float64","0    0.003006
1    0.002938
2    0.002898
3    0.002580
4    0.002461
5    0.002392
6    0.002290
Name: sem, dtype: float64","0    1.569625
1    1.569256
2    1.571110
3    1.566631
4    1.565696
5    1.564107
6    1.562607
Name: loss, dtype: float64","0    1.569625
1    1.569256
2    1.571110
3    1.566631
4    1.565696
5    1.564107
6    1.562607
Name: valloss, dtype: float64",00:00:07
1,ArgumentLevel,bow,"0    0.474271
1    0.466681
2    0.443722
3    0.424552
4    0.421012
5    0.418779
6    0.417829
Name: accuracy, dtype: float64","0    0.005351
1    0.005314
2    0.004868
3    0.004535
4    0.004434
5    0.004413
6    0.004355
Name: sem, dtype: float64","0    1.598674
1    1.590604
2    1.610837
3    1.626728
4    1.622381
5    1.613833
6    1.604872
Name: loss, dtype: float64","0    1.598674
1    1.590604
2    1.610837
3    1.626728
4    1.622381
5    1.613833
6    1.604872
Name: valloss, dtype: float64",00:09:26
