,feature extraction,accuracy,sem,Label,ck
0,tfidf,"[0.4209, 0.4290315789473683, 0.43157241379310346, 0.4321894736842105, 0.42808]","[0.0012221161448868441, 0.0012843023630467602, 0.0015290641140921334, 0.0020132218346745018, 0.0030302934695181855]",ArgumentLevel,"[-0.0006249760062845961, -1.6601855291078893e-05, -0.00012964915136444874, 0.0, 0.0]"
1,bow,"[0.3728583333333333, 0.36996842105263156, 0.3674482758620689, 0.3660421052631579, 0.36451999999999996]","[0.0011532032831361545, 0.0011870699222288853, 0.0013179317147380845, 0.0017735178547552042, 0.002702330267667189]",ArgumentLevel,"[-0.0006249760062845961, -1.6601855291078893e-05, -0.00012964915136444874, 0.0, 0.0]"
2,tfidf,"[0.5574583333333334, 0.5579052631578948, 0.5543586206896551, 0.5547368421052632, 0.5552]","[0.0010599089591514757, 0.0012194166711809364, 0.0015350281398698279, 0.002089725948072595, 0.0030343478552668783]",ReasoningLevel,"[0.00043890683324304805, 0.0, 0.0, 0.0, nan]"
3,bow,"[0.5638583333333334, 0.5625263157894737, 0.5684827586206896, 0.5705052631578946, 0.57748]","[0.0011263164973521207, 0.001343624619079445, 0.0016479278055758512, 0.00205869599174123, 0.0030019901095518515]",ReasoningLevel,"[0.00043890683324304805, 0.0, 0.0, 0.0, nan]"
