,feature extraction,accuracy,sem,Label
0,tfidf,"[0.4225, 0.4297894736842105, 0.43024827586206893, 0.43286315789473684, 0.43296]","[0.0011907679381072036, 0.0013644948235486082, 0.0015318813596717192, 0.0020024063409809756, 0.00298868336417569]",ArgumentLevel
1,bow,"[0.3024083333333333, 0.29510526315789476, 0.2866896551724138, 0.2749894736842105, 0.271]","[0.0011874492212933356, 0.0012591266063799488, 0.0014929208188654633, 0.0017956021656978644, 0.0026636888135137134]",ArgumentLevel
2,tfidf,"[0.5569916666666666, 0.5560526315789474, 0.5565103448275862, 0.5571368421052632, 0.55548]","[0.0010662362384146703, 0.0012609845424056457, 0.00154506497820204, 0.002018019318316326, 0.002995392593753995]",ReasoningLevel
3,bow,"[0.512225, 0.5175052631578948, 0.5225241379310345, 0.5269473684210527, 0.5402]","[0.0012053852949416143, 0.0014369954377702263, 0.001665265483189386, 0.0021678978983246822, 0.003103906843814426]",ReasoningLevel
