,feature extraction,accuracy,sem,Label
0,tfidf,"[0.26190476190476186, 0.2970588235294118, 0.296, 0.2823529411764706, 0.2888888888888889]","[0.014197256999998666, 0.01607962692829091, 0.02679966832298904, 0.02601274345376784, 0.05023948135648346]",ArgumentLevel
1,bow,"[0.29047619047619044, 0.27941176470588236, 0.27999999999999997, 0.2823529411764706, 0.33333333333333337]","[0.014108245106850142, 0.012593365273201108, 0.018856180831641266, 0.02111829336131178, 0.037037037037037035]",ArgumentLevel
2,tfidf,"[0.3238095238095238, 0.2911764705882353, 0.308, 0.32352941176470584, 0.24444444444444446]","[0.011878277418329974, 0.0154703272922152, 0.018903262505010433, 0.029411764705882353, 0.04319223625811333]",ReasoningLevel
3,bow,"[0.32142857142857145, 0.3235294117647059, 0.384, 0.3352941176470588, 0.2888888888888889]","[0.018184824186332695, 0.02361096976233783, 0.02166410241236256, 0.02156862745098039, 0.029629629629629624]",ReasoningLevel
