,feature extraction,accuracy,sem,Label
0,tfidf,"[0.4020833333333334, 0.4052631578947368, 0.46206896551724136, 0.42631578947368415, 0.48]","[0.01702451482240453, 0.029669358816294324, 0.024219893684718937, 0.032774634547841054, 0.057348835113617505]",ArgumentLevel
1,bow,"[0.29375000000000007, 0.27368421052631575, 0.28620689655172415, 0.2842105263157894, 0.22000000000000006]","[0.023539515634275403, 0.03239681633792875, 0.025727619868505042, 0.03253901226489721, 0.04666666666666666]",ArgumentLevel
2,tfidf,"[0.5645833333333333, 0.5631578947368421, 0.5275862068965518, 0.5684210526315789, 0.5599999999999999]","[0.014715013958622975, 0.015789473684210527, 0.02358423509044045, 0.023274559932318604, 0.05206833117271102]",ReasoningLevel
3,bow,"[0.5916666666666666, 0.5526315789473684, 0.5620689655172414, 0.6263157894736843, 0.5399999999999999]","[0.015896559919805, 0.02353755765789252, 0.023584235090440445, 0.02982456140350877, 0.05206833117271103]",ReasoningLevel
