,Label,feature extraction,accuracy,sem,loss,val_loss,time
0,ArgumentLevel,tfidf,"0    0.424198
1    0.404247
2    0.393814
3    0.399300
4    0.400246
5    0.399272
6    0.397110
Name: accuracy, dtype: float64","0    0.002726
1    0.002404
2    0.002188
3    0.002061
4    0.001969
5    0.001883
6    0.001784
Name: sem, dtype: float64","0    1.542475
1    1.548297
2    1.546406
3    1.542895
4    1.536798
5    1.534123
6    1.529106
Name: loss, dtype: float64","0    1.542475
1    1.548297
2    1.546406
3    1.542895
4    1.536798
5    1.534123
6    1.529106
Name: valloss, dtype: float64",00:00:11
1,ArgumentLevel,bow,"0    0.434764
1    0.425093
2    0.418761
3    0.410321
4    0.403127
5    0.393175
6    0.388534
Name: accuracy, dtype: float64","0    0.002753
1    0.002222
2    0.002070
3    0.001800
4    0.001752
5    0.001653
6    0.001597
Name: sem, dtype: float64","0    1.555151
1    1.539915
2    1.538027
3    1.534080
4    1.532116
5    1.531471
6    1.528564
Name: loss, dtype: float64","0    1.555151
1    1.539915
2    1.538027
3    1.534080
4    1.532116
5    1.531471
6    1.528564
Name: valloss, dtype: float64",00:13:48
