,Label,feature extraction,accuracy,sem,loss,val_loss,time
0,ArgumentLevel,tfidf,"0    0.415991
1    0.425689
2    0.416864
3    0.409275
4    0.408900
5    0.407845
6    0.403776
Name: accuracy, dtype: float64","0    0.002573
1    0.002312
2    0.002155
3    0.002016
4    0.001941
5    0.001854
6    0.001805
Name: sem, dtype: float64","0    1.554370
1    1.545575
2    1.541866
3    1.537789
4    1.532618
5    1.529626
6    1.527581
Name: loss, dtype: float64","0    1.554370
1    1.545575
2    1.541866
3    1.537789
4    1.532618
5    1.529626
6    1.527581
Name: valloss, dtype: float64",00:00:08
1,ArgumentLevel,bow,"0    0.415236
1    0.426157
2    0.432569
3    0.436667
4    0.435701
5    0.440584
6    0.442313
Name: accuracy, dtype: float64","0    0.003813
1    0.003960
2    0.003910
3    0.003934
4    0.003863
5    0.003881
6    0.003870
Name: sem, dtype: float64","0    1.583251
1    1.512048
2    1.483898
3    1.459907
4    1.458081
5    1.442663
6    1.432030
Name: loss, dtype: float64","0    1.583251
1    1.512048
2    1.483898
3    1.459907
4    1.458081
5    1.442663
6    1.432030
Name: valloss, dtype: float64",00:09:23
